
"Rank","Name","Symbol","pe_ratio_ttm","price (USD)","country"
"1","Power Finance Corp","PFC.NS","1.87143","1.31","India"
"2","Asian Granito India","ASIANTILES.NS","1.96429","0.52","India"
"3","Rural Electrification Corp","RECLTD.NS","2.33846","1.52","India"
"4","Steel Authority of India","SAIL.NS","2.40541","0.89","India"
"5","Godawari Power &amp; Ispat","GPIL.NS","2.69748","3.22","India"
"6","Repco Home Finance","REPCOHOME.NS","2.7619","1.73","India"
"7","Jindal Stainless (Hisar)","JSLHISAR.NS","2.80645","2.64","India"
"8","Tata Steel","TATASTEEL.NS","2.91384","11.16","India"
"9","Ashoka Buildcon","ASHOKA.NS","3.03226","0.93","India"
"10","National Mineral Development Corporation","NMDC.NS","3.11111","1.4","India"
"11","Hindustan Construction Company","HCC.NS","3.2","0.16","India"
"12","Indiabulls Housing Finance","IBULHSGFIN.NS","3.40541","1.25","India"
"13","Indian Railway Finance","IRFC.NS","3.57143","0.25","India"
"14","Info Edge","NAUKRI.NS","3.63181","48.13","India"
"15","Karnataka Bank","KTKBANK.NS","3.72727","0.82","India"
"16","INEOS Styrolution","INEOSSTYRO.NS","3.86853","9.69","India"
"17","Hindustan Petroleum","HINDPETRO.NS","3.94366","2.8","India"
"18","Vedanta","VEDL.NS","3.94667","2.95","India"
"19","Tata Steel Long Products","TATASTLLP.NS","4.03743","7.53","India"
"20","Indian Metals &amp; Ferro Alloys","IMFA.NS","4.11905","3.48","India"
"21","Indian Oil","IOC.NS","4.21212","1.39","India"
"22","Bank of India","BANKINDIA.NS","4.38462","0.56","India"
"23","PTC India","PTC.NS","4.52381","0.96","India"
"24","Alembic Limited","ALEMBICLTD.NS","4.58824","0.77","India"
"25","Jindal Poly Films","JINDALPOLY.NS","4.60791","12.91","India"
"26","Indian Bank","INDIANB.NS","4.68293","1.92","India"
"27","Oil &amp; Natural Gas","ONGC.NS","4.7","1.88","India"
"28","Hindustan Media Ventures","HMVL.NS","4.78571","0.67","India"
"29","Jagran Prakashan","JAGRAN.NS","4.84615","0.63","India"
"30","Jindal Steel &amp; Power","JINDALSTEL.NS","4.88372","4.24","India"
"31","Hudco","HUDCO.NS","4.88889","0.44","India"
"32","Union Bank of India","UNIONBANK.NS","4.88889","0.44","India"
"33","Rain Industries","RAIN.NS","5.05405","1.88","India"
"34","Canara Bank","CANBK.NS","5.13043","2.35","India"
"35","Himatsingka Seide","HIMATSEIDE.NS","5.32","1.37","India"
"36","GAIL","GAIL.NS","5.46875","1.75","India"
"37","Kirloskar Ferrous Industries","KIRLFER.NS","5.56522","2.56","India"
"38","Aurobindo Pharma","AUROPHARMA.NS","5.61538","6.55","India"
"39","National Aluminum &amp; Alloy","NATIONALUM.NS","5.625","0.9","India"
"40","Hindalco Industries","HINDALCO.NS","5.98611","4.34","India"
"41","Bharat Petroleum","BPCL.NS","6","4.03","India"
"42","Prakash Industries","PRAKASH.NS","6","0.66","India"
"43","Oil India","OIL.NS","6.01852","3.23","India"
"44","Chambal Fertilisers","CHAMBLFERT.NS","6.08772","3.47","India"
"45","Indorama Synthetics","INDORAMA.NS","6.23077","0.81","India"
"46","Southern Petrochemical Industries Corp","SPIC.NS","6.3","0.63","India"
"47","Karur Vysya Bank","KARURVYSYA.NS","6.33333","0.57","India"
"48","JSW Steel","JSWSTEEL.NS","6.52679","7.31","India"
"49","Bank of Maharashtra","MAHABANK.NS","6.66667","0.2","India"
"50","Bank of Baroda","BANKBARODA.NS","6.68421","1.27","India"
"51","KCP Limited","KCP.NS","6.75","1.35","India"
"52","Mangalam Cement","MANGLMCEM.NS","6.82353","3.48","India"
"53","Electrosteel Castings","ELECTCAST.NS","6.83333","0.41","India"
"54","Kalpataru Power Transmission","KALPATPOWR.NS","6.87879","4.53","India"
"55","I.g. Petrochemicals","IGPL.NS","6.98198","7.71","India"
"56","Dhampur Sugar Mills","DHAMPURSUG.NS","7.05","2.81","India"
"57","India Glycols","INDIAGLYCO.NS","7.10687","9.29","India"
"58","Filatex India","FILATEX.NS","7.17647","1.22","India"
"59","Cosmo Films","COSMOFILMS.NS","7.37143","12.81","India"
"60","Cadila Healthcare","CADILAHC.NS","7.37705","4.5","India"
"61","Punjab National Bank","PNB.NS","7.4","0.37","India"
"62","Rashtriya Chemicals and Fertilizers","RCF.NS","7.69231","1","India"
"63","Marksans Pharma","MARKSANS.NS","7.71429","0.54","India"
"64","Jubilant Pharmova","JUBLPHARMA.NS","7.7193","4.4","India"
"65","Coal India","COALINDIA.NS","7.83333","2.35","India"
"66","GTPL Hathway","GTPL.NS","7.91304","1.81","India"
"67","NHPC Limited","NHPC.NS","8","0.41","India"
"68","LIC Housing Finance","LICHSGFIN.NS","8.11765","4.14","India"
"69","NTPC Limited","NTPC.NS","8.28571","1.74","India"
"70","Shriram Pistons &amp; Rings","SHRIPISTON.NS","8.36364","8.29","India"
"71","Dish TV","DISHTV.NS","8.5","0.17","India"
"72","SJVN","SJVN.NS","8.5","0.35","India"
"73","PTC Financial Services","PFS.NS","8.5","0.18","India"
"74","Sasken Technologies","SASKEN.NS","8.51724","9.85","India"
"75","Hinduja Global Solutions","HGS.NS","8.525","13.79","India"
"76","Redington India","REDINGTON.NS","8.52632","1.62","India"
"77","Parag Milk Foods","PARAGMILK.NS","8.63636","0.99","India"
"78","Geojit Financial Services","GEOJITFSL.NS","8.75","0.7","India"
"79","Indus Towers","INDUSTOWER.NS","8.8","2.6","India"
"80","Petronet LNG","PETRONET.NS","8.83871","2.73","India"
"81","Orient Cement","ORIENTCEM.NS","8.88235","1.49","India"
"82","Gulf Oil Lubricants","GULFOILLUB.NS","8.94737","5.11","India"
"83","CSB Bank","CSBBANK.NS","9.03571","2.51","India"
