
"Rank","Name","Symbol","earnings_ttm","price (USD)","country"
"1","Reliance Industries","RELIANCE.NS","11257500000","32.45","India"
"2","Oil &amp; Natural Gas","ONGC.NS","7995470000","1.88","India"
"3","Tata Steel","TATASTEEL.NS","7456470000","11.16","India"
"4","Tata Consultancy Services","TCS.NS","7021710000","42.01","India"
"5","State Bank of India","SBIN.NS","6653340000","5.85","India"
"6","HDFC Bank","HDB","6239830000","55.16","India"
"7","Vedanta","VEDL.NS","5032840000","2.95","India"
"8","ICICI Bank","IBN","4693460000","17.74","India"
"9","Indian Oil","IOC.NS","4586010000","1.39","India"
"10","Infosys","INFY","4062000000","18.46","India"
"11","NTPC Limited","NTPC.NS","3990770000","1.74","India"
"12","JSW Steel","JSWSTEEL.NS","3987920000","7.31","India"
"13","Housing Development Finance Corporation","HDFC.NS","3778730000","27.5","India"
"14","Powergrid Corporation of India","POWERGRID.NS","3772220000","2.66","India"
"15","Coal India","COALINDIA.NS","3224160000","2.35","India"
"16","Power Finance Corp","PFC.NS","3130660000","1.31","India"
"17","Hindalco Industries","HINDALCO.NS","3124870000","4.34","India"
"18","ITC","ITC.NS","2777700000","3.43","India"
"19","Bajaj Finserv","BAJAJFINSV.NS","2777680000","142.05","India"
"20","Axis Bank","AXISBANK.BO","2530330000","8.06","India"
"21","Larsen &amp; Toubro","LT.NS","2342110000","19.65","India"
"22","Steel Authority of India","SAIL.NS","2183210000","0.89","India"
"23","Bharat Petroleum","BPCL.NS","2144560000","4.03","India"
"24","Kotak Mahindra Bank","KOTAKBANK.NS","2131530000","20.88","India"
"25","Wipro","WIT","2096090000","5.32","India"
"26","GAIL","GAIL.NS","2095210000","1.75","India"
"27","Hindustan Zinc","HINDZINC.NS","1923770000","3.22","India"
"28","Mahindra &amp; Mahindra","M&M.NS","1922010000","13.91","India"
"29","Info Edge","NAUKRI.NS","1907610000","48.13","India"
"30","Jindal Steel &amp; Power","JINDALSTEL.NS","1750640000","4.24","India"
"31","National Mineral Development Corporation","NMDC.NS","1742910000","1.4","India"
"32","Grasim Industries","GRASIM.NS","1690060000","17.13","India"
"33","Bharti Airtel","BHARTIARTL.NS","1665730000","8.63","India"
"34","Rural Electrification Corp","RECLTD.NS","1664380000","1.52","India"
"35","Hindustan Unilever","HINDUNILVR.NS","1603020000","28.69","India"
"36","Adani Power","ADANIPOWER.NS","1416600000","3.45","India"
"37","Bank of Baroda","BANKBARODA.NS","1371390000","1.27","India"
"38","Hindustan Petroleum","HINDPETRO.NS","1356690000","2.8","India"
"39","Bajaj Finance","BAJFINANCE.NS","1269520000","70.14","India"
"40","UltraTech Cement","ULTRACEMCO.NS","1245780000","71.22","India"
"41","Canara Bank","CANBK.NS","1222530000","2.35","India"
"42","Oil India","OIL.NS","1200440000","3.23","India"
"43","Union Bank of India","UNIONBANK.NS","1154340000","0.44","India"
"44","HCL Technologies","HCLTECH.NS","1147530000","12.63","India"
"45","Indus Towers","INDUSTOWER.NS","1127560000","2.6","India"
"46","Adani Ports & SEZ","ADANIPORTS.NS","1082900000","8.6","India"
"47","Bajaj Auto","BAJAJ-AUTO.NS","1024050000","49.14","India"
"48","Tech Mahindra","TECHM.NS","1019140000","12.9","India"
"49","Piramal Group","PEL.NS","936276000","20.95","India"
"50","IndusInd Bank","INDUSINDBK.NS","860164000","10.12","India"
"51","Indian Railway Finance","IRFC.NS","814849000","0.25","India"
"52","Bank of India","BANKINDIA.NS","747081000","0.56","India"
"53","Muthoot Finance","MUTHOOTFIN.NS","724133000","12.27","India"
"54","Hindustan Aeronautics","HAL.NS","703563000","22.71","India"
"55","Life Insurance Corporation of India (LIC)","LICI.NS","684206000","8.36","India"
"56","UPL","UPL.NS","662601000","8.16","India"
"57","Ambuja Cements","AMBUJACEM.NS","648600000","4.64","India"
"58","Punjab National Bank","PNB.NS","647225000","0.37","India"
"59","Maruti Suzuki India","MARUTI.NS","642694000","107.49","India"
"60","Petronet LNG","PETRONET.NS","610458000","2.73","India"
"61","Sun Pharmaceutical","SUNPHARMA.NS","608132000","10.48","India"
"62","NHPC Limited","NHPC.NS","594381000","0.41","India"
"63","Bajaj Holdings &amp; Investment","BAJAJHLDNG.NS","565437000","58.62","India"
"64","Asian Paints","ASIANPAINT.NS","560052000","34.25","India"
"65","Adani Transmission","ADANITRANS.NS","544181000","28.67","India"
"66","Indian Bank","INDIANB.NS","533087000","1.92","India"
"67","National Aluminum &amp; Alloy","NATIONALUM.NS","528206000","0.9","India"
"68","IDBI Bank","IDBI.NS","498069000","0.39","India"
"69","General Insurance Corporation of India","GICRE.NS","495145000","1.46","India"
"70","Divis Laboratories","DIVISLAB.NS","492586000","45.12","India"
"71","Cipla","CIPLA.NS","482934000","11.74","India"
"72","Shriram Transport Finance","SRTRANSFIN.NS","473774000","15.53","India"
"73","Adani Enterprises","ADANIENT.NS","464971000","27.98","India"
"74","Aurobindo Pharma","AUROPHARMA.NS","458639000","6.55","India"
"75","Dr. Reddy's","RDY","446562000","55.29","India"
"76","Larsen &amp; Toubro Infotech","LTI.BO","424079000","52.89","India"
"77","Bharat Electronics","BEL.NS","422439000","2.99","India"
"78","Titan Company","TITAN.NS","417885000","24.47","India"
"79","Nestlé India","NESTLEIND.NS","416411000","220.08","India"
"80","Shree Cement","SHREECEM.NS","416066000","244.69","India"
"81","Hero MotoCorp","HEROMOTOCO.NS","409205000","35.1","India"
"82","Tata Power","TATAPOWER.NS","402523000","2.65","India"
"83","Cholamandalam Investment and Finance","CHOLAFIN.NS","387902000","8","India"
"84","JSW Energy","JSWENERGY.NS","383488000","2.79","India"
"85","LIC Housing Finance","LICHSGFIN.NS","371334000","4.14","India"
"86","SRF Limited","SRF.NS","361168000","28.88","India"
"87","Federal Bank","FEDERALBNK.NS","353865000","1.15","India"
"88","Cadila Healthcare","CADILAHC.NS","350072000","4.5","India"
"89","NLC India","NLCINDIA.NS","349134000","0.84","India"
"90","Jindal Stainless","JSL.NS","340448000","1.31","India"
"91","Kirloskar Ferrous Industries","KIRLFER.NS","333136000","2.56","India"
"92","Jindal Stainless (Hisar)","JSLHISAR.NS","325714000","2.64","India"
"93","ACC","ACC.NS","313153000","27.12","India"
"94","Hudco","HUDCO.NS","312815000","0.44","India"
"95","Dabur","DABUR.NS","309276000","6.45","India"
"96","Aditya Birla Capital","ABCAPITAL.NS","305930000","1.13","India"
"97","East India Distilleries Parry","EIDPARRY.NS","305171000","6.59","India"
"98","Godrej","GODREJCP.NS","303605000","9.83","India"
"99","Mindtree","MINDTREE.NS","302408000","38.01","India"
"100","Chennai Petroleum","CHENNPETRO.NS","299234000","4.18","India"
"101","Chambal Fertilisers","CHAMBLFERT.NS","299190000","3.47","India"
"102","Sun TV Network","SUNTV.NS","298286000","5.29","India"
"103","Bank of Maharashtra","MAHABANK.NS","297700000","0.2","India"
"104","Britannia Industries","BRITANNIA.NS","297164000","43.37","India"
"105","Eicher Motors","EICHERMOT.NS","296614000","36.01","India"
"106","SBI Card","SBICARD.NS","290105000","9.81","India"
"107","Coromandel","COROMANDEL.NS","284776000","12.02","India"
"108","GMR Group","GMRINFRA.NS","278910000","0.44","India"
