
"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Reliance Industries","RELIANCE.NS","219647383950","32.46","India"
"2","Tata Consultancy Services","TCS.NS","153935220986","42.07","India"
"3","HDFC Bank","HDB","102098403328","55.16","India"
"4","Infosys","INFY","79030026240","18.46","India"
"5","Hindustan Unilever","HINDUNILVR.NS","67411366617","28.66","India"
"6","ICICI Bank","IBN","62419255296","17.74","India"
"7","Life Insurance Corporation of India (LIC)","LICI.NS","52876983280","8.36","India"
"8","State Bank of India","SBIN.NS","52238663418","5.85","India"
"9","Bharti Airtel","BHARTIARTL.NS","50742442193","8.63","India"
"10","Housing Development Finance Corporation","HDFC.NS","49918723340","27.51","India"
"11","Bajaj Finance","BAJFINANCE.NS","42518869298","69.98","India"
"12","ITC","ITC.NS","42298996851","3.43","India"
"13","Kotak Mahindra Bank","KOTAKBANK.NS","41396476728","20.85","India"
"14","Adani Green Energy","ADANIGREEN.NS","38735870348","24.45","India"
"15","HCL Technologies","HCLTECH.NS","34207996989","12.64","India"
"16","Adani Total Gas","ATGL.NS","34195427441","31.09","India"
"17","Asian Paints","ASIANPAINT.NS","32939136805","34.32","India"
"18","Maruti Suzuki India","MARUTI.NS","32542347553","107.73","India"
"19","Adani Enterprises","ADANIENT.NS","31890497762","27.97","India"
"20","Adani Transmission","ADANITRANS.NS","31500167630","28.64","India"
"21","Wipro","WIT","29082206208","5.32","India"
"22","DMart","DMART.NS","28522021588","44.03","India"
"23","Larsen &amp; Toubro","LT.NS","27596391430","19.64","India"
"24","Sun Pharmaceutical","SUNPHARMA.NS","25148922743","10.48","India"
"25","Axis Bank","AXISBANK.BO","24665265793","8.06","India"
"26","Oil &amp; Natural Gas","ONGC.NS","23602604314","1.88","India"
"27","Bajaj Finserv","BAJAJFINSV.NS","22593291185","141.85","India"
"28","Titan Company","TITAN.NS","21711606293","24.46","India"
"29","Nestlé India","NESTLEIND.NS","21222552905","220.12","India"
"30","UltraTech Cement","ULTRACEMCO.NS","20566591858","71.25","India"
"31","Tata Motors","TTM","20095459328","26.24","India"
"32","Powergrid Corporation of India","POWERGRID.NS","18543643469","2.66","India"
"33","Adani Ports & SEZ","ADANIPORTS.NS","18171322495","8.6","India"
"34","JSW Steel","JSWSTEEL.NS","17622605392","7.32","India"
"35","Mahindra &amp; Mahindra","M&M.NS","17298637200","13.91","India"
"36","NTPC Limited","NTPC.NS","16878085358","1.74","India"
"37","HDFC Life","HDFCLIFE.NS","14662717754","6.94","India"
"38","Coal India","COALINDIA.NS","14477889246","2.35","India"
"39","Bajaj Auto","BAJAJ-AUTO.NS","14245010808","49.18","India"
"40","Tata Steel","TATASTEEL.NS","13640123777","11.17","India"
"41","Hindustan Zinc","HINDZINC.NS","13632056479","3.21","India"
"42","Pidilite","PIDILITIND.NS","13606078650","26.77","India"
"43","SBI Life Insurance","SBILIFE.NS","13547030049","13.54","India"
"44","Adani Power","ADANIPOWER.NS","13315022965","3.45","India"
"45","Indian Oil","IOC.NS","13035945292","1.38","India"
"46","Tech Mahindra","TECHM.NS","12539287392","12.89","India"
"47","Divis Laboratories","DIVISLAB.NS","11960363396","45.05","India"
"48","Dabur","DABUR.NS","11423732524","6.44","India"
"49","Grasim Industries","GRASIM.NS","11274858099","17.13","India"
"50","Vedanta","VEDL.NS","10995504458","2.96","India"
"51","Siemens India","SIEMENS.NS","10632440450","29.86","India"
"52","Britannia Industries","BRITANNIA.NS","10450504958","43.35","India"
"53","Godrej","GODREJCP.NS","10037083886","9.81","India"
"54","DLF","DLF.NS","9968595623","4.03","India"
"55","Eicher Motors","EICHERMOT.NS","9850827923","36.03","India"
"56","Hindalco Industries","HINDALCO.NS","9700557896","4.35","India"
"57","Adani Wilmar","AWL.NS","9674867533","7.44","India"
"58","Cipla","CIPLA.NS","9483098902","11.74","India"
"59","Dr. Reddy's","RDY","9255379968","55.29","India"
"60","SBI Card","SBICARD.NS","9237013883","9.78","India"
"61","Larsen &amp; Toubro Infotech","LTI.BO","9215037929","52.8","India"
"62","Ambuja Cements","AMBUJACEM.NS","9211596663","4.64","India"
"63","Shree Cement","SHREECEM.NS","8829093026","244.7","India"
"64","Havells India","HAVELLS.NS","8784445393","14.02","India"
"65","ICICI Prulife","ICICIPRULI.NS","8779048126","6.09","India"
"66","Nykaa","NYKAA.NS","8749667430","18.45","India"
"67","Bharat Petroleum","BPCL.NS","8719756222","4.02","India"
"68","Tata Consumer Products","TATACONSUM.NS","8575996789","9.31","India"
"69","SRF Limited","SRF.NS","8554331338","28.86","India"
"70","Tata Power","TATAPOWER.NS","8450327045","2.64","India"
"71","InterGlobe Aviation","INDIGO.NS","7867326662","20.42","India"
"72","Marico","MARICO.NS","7851830585","6.08","India"
"73","IndusInd Bank","INDUSINDBK.NS","7828738814","10.1","India"
"74","GAIL","GAIL.NS","7757097371","1.75","India"
"75","Hindustan Aeronautics","HAL.NS","7674153297","22.74","India"
"76","Bharat Electronics","BEL.NS","7280014111","2.99","India"
"77","Berger Paints","BERGEPAINT.NS","7151606298","7.36","India"
"78","Motherson Sumi Systems","MOTHERSUMI.NS","7094463403","1.57","India"
"79","Hero MotoCorp","HEROMOTOCO.NS","7013840231","35.1","India"
"80","Indus Towers","INDUSTOWER.NS","7004175627","2.6","India"
"81","Apollo Hospitals","APOLLOHOSP.NS","6938065532","48.25","India"
"82","ICICI Lombard","ICICIGI.NS","6927355679","14.1","India"
"83","United Spirits","UNITDSPR.BO","6909394675","9.74","India"
"84","Cholamandalam Investment and Finance","CHOLAFIN.NS","6560859537","7.99","India"
"85","Bank of Baroda","BANKBARODA.NS","6557717150","1.27","India"
"86","Bajaj Holdings &amp; Investment","BAJAJHLDNG.NS","6532315716","58.64","India"
"87","Varun Beverages","VBL.NS","6482991299","9.8","India"
"88","Tata Elxsi","TATAELXSI.NS","6442933490","103.42","India"
"89","Lodha Group","LODHA.NS","6417988347","13.33","India"
"90","Mindtree","MINDTREE.NS","6265409211","38","India"
"91","Info Edge","NAUKRI.NS","6216155423","48.19","India"
"92","Indian Railway Catering & Tourism","IRCTC.NS","6187396695","7.73","India"
"93","UPL","UPL.NS","6148951320","8.19","India"
"94","Torrent Pharmaceuticals","TORNTPHARM.NS","6125241780","36.2","India"
"95","ABB India","ABB.NS","6122950471","28.89","India"
"96","Zomato","ZOMATO.NS","5999449558","0.76","India"
"97","Paytm","PAYTM.NS","5817431572","8.97","India"
"98","Page Industries","PAGEIND.NS","5648779207","506.26","India"
"99","BOSCH India","BOSCHLTD.NS","5598580927","189.57","India"
"100","Gland Pharma","GLAND.NS","5594170446","33.97","India"
"101","Mphasis","MPHASIS.NS","5554857745","29.5","India"
"102","Bandhan Bank","BANDHANBNK.NS","5519731504","3.43","India"
"103","Ashok Leyland","ASHOKLEY.NS","5413072993","1.84","India"
"104","Procter &amp; Gamble India","PGHH.NS","5405456129","166.52","India"
"105","Balkrishna Industries","BALKRISIND.NS","5316719188","27.5","India"
"106","Colgate-Palmolive India","COLPAL.NS","5198986773","19.1","India"
"107","ACC","ACC.NS","5090050966","27.11","India"
"108","PI Industries","PIIND.NS","5077239408","33.48","India"
"109","Piramal Group","PEL.NS","4992902223","20.92","India"
"110","Ruchi Soya","RUCHI.NS","4986942481","13.78","India"
"111","TVS Motor","TVSMOTOR.NS","4962844482","10.44","India"
"112","Abbott India","ABBOTINDIA.NS","4937033737","232.34","India"
"113","Muthoot Finance","MUTHOOTFIN.NS","4925153687","12.27","India"
"114","United Breweries","UBL.NS","4857824828","18.37","India"
"115","Trent Limited","TRENT.NS","4779258095","13.44","India"
"116","Biocon","BIOCON.NS","4740717154","3.95","India"
"117","Container Corporation of India","CONCOR.NS","4696792229","7.71","India"
"118","Delhivery","DELHIVERY.NS","4620727783","6.38","India"
