
"Rank","Name","Symbol","employees_count","price (USD)","country"
"1","Tata Consultancy Services","TCS.NS","528748","42.02","India"
"2","Infosys","INFY","279617","18.46","India"
"3","Mahindra &amp; Mahindra","M&M.NS","260000","13.91","India"
"4","Coal India","COALINDIA.NS","259016","2.35","India"
"5","State Bank of India","SBIN.NS","245652","5.85","India"
"6","Reliance Industries","RELIANCE.NS","236334","32.45","India"
"7","Wipro","WIT","220000","5.32","India"
"8","HCL Technologies","HCLTECH.NS","187634","12.63","India"
"9","Tech Mahindra","TECHM.NS","141193","12.9","India"
"10","HDFC Bank","HDB","129341","55.16","India"
"11","Punjab National Bank","PNB.NS","101802","0.37","India"
"12","ICICI Bank","IBN","98750","17.74","India"
"13","Canara Bank","CANBK.NS","88213","2.35","India"
"14","Bank of Baroda","BANKBARODA.NS","82886","1.27","India"
"15","Union Bank of India","UNIONBANK.NS","78202","0.44","India"
"16","Tata Motors","TTM","75278","26.24","India"
"17","Kotak Mahindra Bank","KOTAKBANK.NS","73000","20.88","India"
"18","Apollo Hospitals","APOLLOHOSP.NS","68496","48.24","India"
"19","Motherson Sumi Systems","MOTHERSUMI.NS","65624","1.57","India"
"20","Steel Authority of India","SAIL.NS","65564","0.89","India"
"21","Tata Steel","TATASTEEL.NS","65000","11.16","India"
"22","Bandhan Bank","BANDHANBNK.NS","52976","3.43","India"
"23","Bank of India","BANKINDIA.NS","51459","0.56","India"
"24","WNS","WNS","49610","74.11","India"
"25","Indian Bank","INDIANB.NS","42601","1.92","India"
"26","Larsen &amp; Toubro","LT.NS","40253","19.65","India"
"27","Hinduja Global Solutions","HGS.NS","39889","13.79","India"
"28","Hindalco Industries","HINDALCO.NS","37500","4.34","India"
"29","Sun Pharmaceutical","SUNPHARMA.NS","37000","10.48","India"
"30","Jubilant FoodWorks","JUBLFOOD.NS","36001","6.54","India"
"31","Indian Oil","IOC.NS","31648","1.39","India"
"32","BOSCH India","BOSCHLTD.NS","31530","189.78","India"
"33","IndusInd Bank","INDUSINDBK.NS","29661","10.12","India"
"34","Bajaj Finance","BAJFINANCE.NS","28546","70.14","India"
"35","Oil &amp; Natural Gas","ONGC.NS","28479","1.88","India"
"36","Aditya Birla Capital","ABCAPITAL.NS","27000","1.13","India"
"37","Hindustan Aeronautics","HAL.NS","26432","22.71","India"
"38","ITC","ITC.NS","26071","3.43","India"
"39","Cipla","CIPLA.NS","25672","11.74","India"
"40","Arvind","ARVIND.NS","24774","1.19","India"
"41","Shriram Transport Finance","SRTRANSFIN.NS","24452","15.53","India"
"42","Cadila Healthcare","CADILAHC.NS","24412","4.5","India"
"43","IDFC FIRST Bank","IDFCFIRSTB.NS","24169","0.4","India"
"44","Indian Overseas Bank","IOB.NS","23579","0.21","India"
"45","Grasim Industries","GRASIM.NS","23500","17.13","India"
"46","InterGlobe Aviation","INDIGO.NS","23204","20.41","India"
"47","Minda Industries","MINDAIND.NS","23000","11.96","India"
"48","Dr. Reddy's","RDY","22739","55.29","India"
"49","AU Small Finance Bank","AUBANK.NS","22484","7.3","India"
"50","Yes Bank","YESBANK.NS","22270","0.16","India"
"51","UltraTech Cement","ULTRACEMCO.NS","21909","71.22","India"
"52","Future Retail","FRETAIL.NS","21839","0.09","India"
"53","Mindtree","MINDTREE.NS","21484","38.01","India"
"54","HDFC Life","HDFCLIFE.NS","21409","6.95","India"
"55","Page Industries","PAGEIND.NS","21280","506.52","India"
"56","Hindustan Unilever","HINDUNILVR.NS","21000","28.69","India"
"57","Coforge","COFORGE.NS","20786","46.66","India"
"58","IIFL Finance","IIFL.NS","19950","4.02","India"
"59","VRL Logistics","VRLLOG.NS","19763","7.93","India"
"60","Aurobindo Pharma","AUROPHARMA.NS","19364","6.55","India"
"61","Apollo Tyres","APOLLOTYRE.NS","18734","2.36","India"
"62","Tata Power","TATAPOWER.NS","18626","2.65","India"
"63","Lupin Limited","LUPIN.NS","18573","7.87","India"
"64","SBI Life Insurance","SBILIFE.NS","18498","13.53","India"
"65","Bharti Airtel","BHARTIARTL.NS","18363","8.63","India"
"66","Madras Rubber Factory","MRF.NS","18180","907.74","India"
"67","Vedanta","VEDL.NS","17047","2.95","India"
"68","RBL Bank","RBLBANK.NS","17000","1.08","India"
"69","Divis Laboratories","DIVISLAB.NS","16818","45.12","India"
"70","NTPC Limited","NTPC.NS","16798","1.74","India"
"71","IDBI Bank","IDBI.NS","16369","0.39","India"
"72","Maruti Suzuki India","MARUTI.NS","16025","107.49","India"
"73","Fortis Healthcare","FORTIS.NS","15837","2.91","India"
"74","Indian Hotels Company","INDHOTEL.NS","15409","2.89","India"
"75","Alkem Laboratories","ALKEM.NS","15357","37.41","India"
"76","New India Assurance","NIACL.NS","15246","1.02","India"
"77","BLS International","BLS.NS","15000","2.46","India"
"78","Ipca Laboratories","IPCALAB.NS","14574","11.26","India"
"79","ICICI Prulife","ICICIPRULI.NS","14413","6.11","India"
"80","Varroc","VARROC.NS","13586","3.81","India"
"81","Torrent Pharmaceuticals","TORNTPHARM.NS","13505","36.27","India"
"82","Biocon","BIOCON.NS","13500","3.94","India"
"83","JSW Steel","JSWSTEEL.NS","13128","7.31","India"
"84","Bank of Maharashtra","MAHABANK.NS","13128","0.2","India"
"85","Federal Bank","FEDERALBNK.NS","12592","1.15","India"
"86","UPL","UPL.NS","12258","8.16","India"
"87","Alembic Pharmaceuticals","APLLTD.NS","12160","9.2","India"
"88","Blue Dart Express","BLUEDART.NS","12095","96.26","India"
"89","NLC India","NLCINDIA.NS","11379","0.84","India"
"90","Religare","RELIGARE.NS","11000","1.54","India"
"91","Godrej","GODREJCP.NS","11000","9.83","India"
"92","Glenmark Pharmaceuticals","GLENMARK.NS","10964","4.86","India"
"93","Ashok Leyland","ASHOKLEY.NS","10758","1.84","India"
"94","Amara Raja Batteries","AMARAJABAT.NS","10605","5.94","India"
"95","Zensar","ZENSARTECH.NS","10375","3.41","India"
"96","SpiceJet","SPICEJET.NS","10279","0.48","India"
"97","ICICI Lombard","ICICIGI.NS","10236","14.09","India"
"98","DMart","DMART.NS","10175","44.19","India"
"99","Bajaj Auto","BAJAJ-AUTO.NS","10044","49.14","India"
"100","Varun Beverages","VBL.NS","10000","9.78","India"
"101","Trent Limited","TRENT.NS","9841","13.45","India"
"102","Hindustan Petroleum","HINDPETRO.NS","9448","2.8","India"
"103","Jain Irrigation Systems","JISLDVREQS.NS","9281","0.25","India"
"104","KEC International","KEC.NS","9258","5.17","India"
"105","Bharat Petroleum","BPCL.NS","9251","4.03","India"
"106","Vodafone Idea","IDEA.NS","9173","0.11","India"
"107","Bharat Electronics","BEL.NS","9172","2.99","India"
"108","Punjab &amp; Sind Bank","PSB.NS","8832","0.18","India"
"109","Hero MotoCorp","HEROMOTOCO.NS","8793","35.1","India"
"110","Powergrid Corporation of India","POWERGRID.NS","8766","2.66","India"
