
"Rank","Name","Symbol","operating_margin_ttm","price (USD)","country"
"1","JSW Holdings","JSWHL.NS","9690.61","40.35","India"
"2","N.B.I. Industrial Finance","NBIFIN.NS","9586.46","23.99","India"
"3","Indian Energy Exchange","IEX.NS","9443.43","2.04","India"
"4","CDSL","CDSL.NS","7411.51","14.08","India"
"5","EaseMyTrip","EASEMYTRIP.NS","6944.46","4.91","India"
"6","Powergrid Corporation of India","POWERGRID.NS","6773","2.66","India"
"7","Puravankara","PURVA.NS","6499.29","1.07","India"
"8","SJVN","SJVN.NS","6383.4","0.35","India"
"9","Sun TV Network","SUNTV.NS","6215.74","5.29","India"
"10","MapmyIndia","MAPMYINDIA.NS","5654.11","17.43","India"
"11","IndiaMART","INDIAMART.NS","5581.91","49.84","India"
"12","Adani Green Energy","ADANIGREEN.NS","5481.35","24.47","India"
"13","NHPC Limited","NHPC.NS","5404.56","0.41","India"
"14","Oberoi Realty","OBEROIRLTY.NS","5348.88","9.43","India"
"15","Adani Ports & SEZ","ADANIPORTS.NS","5142.19","8.6","India"
"16","National Mineral Development Corporation","NMDC.NS","5031.91","1.4","India"
"17","Multi Commodity Exchange","MCX.NS","5028.94","16.11","India"
"18","Piramal Group","PEL.NS","5003.88","20.95","India"
"19","Hindustan Zinc","HINDZINC.NS","4997.44","3.22","India"
"20","Geojit Financial Services","GEOJITFSL.NS","4823.03","0.7","India"
"21","Indian Railway Catering & Tourism","IRCTC.NS","4796.14","7.73","India"
"22","Sanofi India Limited","SANOFI.NS","4784.6","81.35","India"
"23","Azure Power","AZRE","4608.6","12.21","India"
"24","BSE","BSE.NS","4448.89","7.57","India"
"25","HDFC Bank","HDB","4432.71","55.16","India"
"26","Phoenix Mills","PHOENIXLTD.NS","4158.74","15.49","India"
"27","Divis Laboratories","DIVISLAB.NS","4111.11","45.12","India"
"28","CARE's Ratings","CARERATING.NS","4000.76","5.32","India"
"29","ReNew Power","RNW","3897.97","6.06","India"
"30","Adani Power","ADANIPOWER.NS","3829.11","3.45","India"
"31","Godrej Properties","GODREJPROP.NS","3758.4","15.21","India"
"32","GMR Group","GMRINFRA.NS","3747.7","0.44","India"
"33","Gland Pharma","GLAND.NS","3691.09","33.95","India"
"34","MOIL","MOIL.NS","3643.88","1.81","India"
"35","Godawari Power &amp; Ispat","GPIL.NS","3642.13","3.22","India"
"36","Sasken Technologies","SASKEN.NS","3641.67","9.85","India"
"37","Indus Towers","INDUSTOWER.NS","3618.29","2.6","India"
"38","Adani Transmission","ADANITRANS.NS","3612.58","28.67","India"
"39","JSW Energy","JSWENERGY.NS","3511.63","2.79","India"
"40","Xchanging Solution","XCHANGING.NS","3501.73","0.76","India"
"41","Borosil","BORORENEW.NS","3457.76","8.34","India"
"42","ITC","ITC.NS","3455.85","3.43","India"
"43","Oil India","OIL.NS","3304.41","3.23","India"
"44","Bajaj Finserv","BAJAJFINSV.NS","3269.73","142.05","India"
"45","Ashoka Buildcon","ASHOKA.NS","3259.43","0.93","India"
"46","Prestige Group","PRESTIGE.NS","3217.81","5.02","India"
"47","DLF","DLF.NS","3131.33","4.02","India"
"48","Mishra Dhatu Nigam","MIDHANI.NS","3108.83","2.1","India"
"49","Tata Elxsi","TATAELXSI.NS","3053.71","103.6","India"
"50","NLC India","NLCINDIA.NS","3007.5","0.84","India"
"51","Indian Railway Finance","IRFC.NS","3001.77","0.25","India"
"52","Finolex Industries","FINPIPE.NS","2999.26","1.72","India"
"53","Sundaram Finance","SUNDARMHLD.NS","2990.21","0.9","India"
"54","Tata Teleservices","TTML.NS","2982.05","1.58","India"
"55","Aavas Financiers","AAVAS.NS","2934.7","26.05","India"
"56","Vedanta","VEDL.NS","2869.06","2.95","India"
"57","IndusInd Bank","INDUSINDBK.NS","2868.62","10.12","India"
"58","CRISIL","CRISIL.NS","2855.03","40.72","India"
