
"Rank","Name","Symbol","revenue_ttm","price (USD)","country"
"1","Reliance Industries","RELIANCE.NS","93597761384","32.45","India"
"2","Life Insurance Corporation of India (LIC)","LICI.NS","93460909689","8.36","India"
"3","Indian Oil","IOC.NS","78801121119","1.39","India"
"4","Oil &amp; Natural Gas","ONGC.NS","71109775274","1.88","India"
"5","Hindustan Petroleum","HINDPETRO.NS","46636836860","2.8","India"
"6","Bharat Petroleum","BPCL.NS","46368135101","4.03","India"
"7","Tata Motors","TTM","36474314294","26.24","India"
"8","Tata Steel","TATASTEEL.NS","32476926679","11.16","India"
"9","Rajesh Exports","RAJESHEXPO.NS","32473820670","7.79","India"
"10","State Bank of India","SBIN.NS","29974580162","5.85","India"
"11","Hindalco Industries","HINDALCO.NS","26088780081","4.34","India"
"12","Tata Consultancy Services","TCS.NS","25658441526","42.01","India"
"13","Larsen &amp; Toubro","LT.NS","20912685018","19.65","India"
"14","JSW Steel","JSWSTEEL.NS","19223543101","7.31","India"
"15","NTPC Limited","NTPC.NS","17746809589","1.74","India"
"16","Vedanta","VEDL.NS","17541780474","2.95","India"
"17","Infosys","INFY","16310000000","18.46","India"
"18","ICICI Bank","IBN","16037643499","17.74","India"
"19","Bharti Airtel","BHARTIARTL.NS","15592957974","8.63","India"
"20","Housing Development Finance Corporation","HDFC.NS","14526998956","27.5","India"
"21","HDFC Bank","HDB","14076775723","55.16","India"
"22","Steel Authority of India","SAIL.NS","13836891901","0.89","India"
"23","Coal India","COALINDIA.NS","13454880681","2.35","India"
"24","Grasim Industries","GRASIM.NS","12795475693","17.13","India"
"25","GAIL","GAIL.NS","12405152991","1.75","India"
"26","Mahindra &amp; Mahindra","M&M.NS","12059662679","13.91","India"
"27","Maruti Suzuki India","MARUTI.NS","11203733318","107.49","India"
"28","SBI Life Insurance","SBILIFE.NS","11103069707","13.53","India"
"29","Wipro","WIT","10583381836","5.32","India"
"30","Adani Enterprises","ADANIENT.NS","9271104561","27.98","India"
"31","HDFC Life","HDFCLIFE.NS","9025838862","6.95","India"
"32","Bajaj Finserv","BAJAJFINSV.NS","8495151239","142.05","India"
"33","Motherson Sumi Systems","MOTHERSUMI.NS","8406645867","1.57","India"
"34","Redington India","REDINGTON.NS","8380063159","1.62","India"
"35","ICICI Prulife","ICICIPRULI.NS","8327231073","6.11","India"
"36","ITC","ITC.NS","8037659524","3.43","India"
"37","Adani Wilmar","AWL.NS","7149561526","7.45","India"
"38","UltraTech Cement","ULTRACEMCO.NS","7033200108","71.22","India"
"39","Hindustan Unilever","HINDUNILVR.NS","7003749645","28.69","India"
"40","Axis Bank","AXISBANK.BO","6879853669","8.06","India"
"41","Jindal Steel &amp; Power","JINDALSTEL.NS","6833419838","4.24","India"
"42","Canara Bank","CANBK.NS","6699152393","2.35","India"
"43","General Insurance Corporation of India","GICRE.NS","6632343154","1.46","India"
"44","Bank of Baroda","BANKBARODA.NS","6493445877","1.27","India"
"45","Kotak Mahindra Bank","KOTAKBANK.NS","6224872355","20.88","India"
"46","UPL","UPL.NS","6177497915","8.16","India"
"47","Tech Mahindra","TECHM.NS","5973105708","12.9","India"
"48","HCL Technologies","HCLTECH.NS","5806910578","12.63","India"
"49","Chennai Petroleum","CHENNPETRO.NS","5790834137","4.18","India"
"50","Petronet LNG","PETRONET.NS","5776546176","2.73","India"
"51","Tata Power","TATAPOWER.NS","5577446227","2.65","India"
"52","Powergrid Corporation of India","POWERGRID.NS","5569486948","2.66","India"
"53","Union Bank of India","UNIONBANK.NS","5558621827","0.44","India"
