Name,Rating,Review,C-Type,HQ,Old,Employees,Site,Sector
TCS,,(47.4k Reviews),Public,"Mumbai,Maharashtra + 267 more",54 years old,1 Lakh+ Employees (India),,
Accenture,,(31.4k Reviews),Public,Dublin + 140 more,33 years old,1 Lakh+ Employees (India),,
Cognizant,,(28.6k Reviews),Private,Teaneck. New Jersey. + 94 more,28 years old,1 Lakh+ Employees (India),,
ICICI Bank,,(33.9k Reviews),Public,"Mumbai,Maharashtra + 1022 more",28 years old,1 Lakh+ Employees (India),,
HDFC Bank,,(38.4k Reviews),Public,"Mumbai,Maharashtra + 1180 more",28 years old,1 Lakh+ Employees (India),,
Wipro,,(27.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 227 more",77 years old,1 Lakh+ Employees (India),,
Infosys,,(27.2k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 121 more",41 years old,1 Lakh+ Employees (India),,
Capgemini,,(23.2k Reviews),Public,Paris + 76 more,55 years old,1 Lakh+ Employees (India),,
Tech Mahindra,,(21.1k Reviews),Public,"Pune,Maharashtra + 211 more",36 years old,50k-1 Lakh Employees (India),,
Genpact,,(20.4k Reviews),Public,"New York,New York + 66 more",25 years old,50k-1 Lakh Employees (India),,
HCL Technologies,,(17.7k Reviews),Public,"Noida,Uttar Pradesh + 138 more",31 years old,1 Lakh+ Employees (India),,
Axis Bank,,(18.5k Reviews),Public,"Mumbai,Maharashtra + 1049 more",29 years old,1 Lakh+ Employees (India),,
Amazon,,(17.1k Reviews),Public,"Seattle,Washington + 359 more",28 years old,1 Lakh+ Employees (India),,
IBM,,(20.9k Reviews),Public,"Armonk,New York + 116 more",111 years old,1 Lakh+ Employees (India),,
Concentrix Corpo...,,(15.0k Reviews),Public,"Fremont,California + 67 more",39 years old,10k-50k Employees (India),,
Larsen & Toubro ...,,(24.1k Reviews),Public,"Mumbai,Maharashtra + 515 more",84 years old,10k-50k Employees (India),,
Reliance jio,,(14.5k Reviews),Public,"Navi Mumbai,Maharashtra + 942 more",15 years old,50k-1 Lakh Employees (India),,
Vodafone Idea,,(13.7k Reviews),Public,"Gandhinagar,Gujrat + 557 more",4 years old,10k-50k Employees (India),,
HDB Financial Se...,,(13.0k Reviews),Private,"Ahmedabad,Gujrat + 754 more",15 years old,1 Lakh+ Employees (India),,
Teleperformance,,(14.0k Reviews),Private,Paris + 119 more,44 years old,50k-1 Lakh Employees (India),,
Kotak Mahindra B...,,(13.3k Reviews),Public,"Mumbai,Maharashtra + 466 more",19 years old,50k-1 Lakh Employees (India),,
Reliance Industr...,,(41.9k Reviews),Public,"Navi Mumbai,Maharashtra + 461 more",49 years old,1 Lakh+ Employees (India),,
Bharti Airtel,,(12.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 499 more",27 years old,10k-50k Employees (India),,
Deloitte,,(10.0k Reviews),Private,"New York,New York + 131 more",177 years old,50k-1 Lakh Employees (India),,
Tata Motors,,(12.1k Reviews),Public,"Pune,Maharashtra + 384 more",77 years old,10k-50k Employees (India),,
Reliance Retail,,(14.8k Reviews),Private,"Navi Mumbai,Maharashtra + 607 more",16 years old,1 Lakh+ Employees (India),,
WNS,,(6.8k Reviews),Private,"Mumbai,Maharashtra + 22 more",26 years old,10k-50k Employees (India),,
Mahindra & Mahin...,,(38.4k Reviews),Public,"Mumbai,Maharashtra + 404 more",77 years old,1 Lakh+ Employees (India),,
IndusInd Bank,,(6.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 543 more",28 years old,10k-50k Employees (India),,
Flipkart,,(10.9k Reviews),Public,"Bangalore,Karnataka + 422 more",15 years old,50k-1 Lakh Employees (India),,
DXC Technology,,(7.0k Reviews),Public,"Minato,Tokyo + 56 more",5 years old,10k-50k Employees (India),,
BYJU'S,,(10.8k Reviews),Private,"Bangalore,Karnataka + 175 more",11 years old,1k-5k Employees (India),,
Ernst & Young,,(6.0k Reviews),Private,London + 71 more,20 years old,50k-1 Lakh Employees (India),,
Hinduja Global S...,,(6.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 73 more",22 years old,10k-50k Employees (India),,
Maruti Suzuki,,(5.8k Reviews),Public,"New Delhi,Delhi + 373 more",39 years old,10k-50k Employees (India),,
Infosys BPM,,(5.7k Reviews),"Bangalore/Bengaluru,Karnataka + 46 more",20 years old,10k-50k Employees (India),,,
HSBC,,(5.8k Reviews),Private,"Pune,Maharashtra + 53 more",20 years old,10k-50k Employees (India),,
Ericsson,,(5.4k Reviews),Private,"Stockholm,Stockholm County + 131 more",146 years old,10k-50k Employees (India),,
